Date,Price
2-Mar-20,"11,123.70"
3-Mar-20,"11,294.75"
4-Mar-20,"11,247.10"
5-Mar-20,"11,255.35"
6-Mar-20,"10,939.90"
9-Mar-20,"10,462.35"
10-Mar-20,"10,394.25"
11-Mar-20,"10,450.75"
12-Mar-20,"9,546.60"
13-Mar-20,"9,897.70"
16-Mar-20,"9,118.45"
17-Mar-20,"8,915.60"
18-Mar-20,"8,433.70"
19-Mar-20,"8,205.90"
20-Mar-20,"8,723.10"
23-Mar-20,"7,581.55"
24-Mar-20,"7,849.90"
25-Mar-20,"8,362.20"
26-Mar-20,"8,641.45"
27-Mar-20,"8,651.40"
30-Mar-20,"8,290.15"
31-Mar-20,"8,620.95"
1-Apr-20,"8,257.30"
2-Apr-20,"8,159.75"
3-Apr-20,"8,084.50"
6-Apr-20,"8,461.75"
7-Apr-20,"8,875.85"
8-Apr-20,"8,750.55"
9-Apr-20,"9,086.70"
13-Apr-20,"9,011.10"
14-Apr-20,"9,215.50"
15-Apr-20,"8,930.30"
16-Apr-20,"9,035.45"
17-Apr-20,"9,311.30"
20-Apr-20,"9,260.50"
21-Apr-20,"8,971.60"
22-Apr-20,"9,188.30"
23-Apr-20,"9,296.75"
24-Apr-20,"9,138.25"
27-Apr-20,"9,295.15"
28-Apr-20,"9,397.75"
29-Apr-20,"9,549.15"
30-Apr-20,"9,859.90"
1-May-20,"9,222.00"
4-May-20,"9,285.90"
5-May-20,"9,208.60"
6-May-20,"9,280.70"
7-May-20,"9,204.25"
8-May-20,"9,236.65"
11-May-20,"9,225.15"
12-May-20,"9,212.35"
13-May-20,"9,393.55"
14-May-20,"9,143.90"
15-May-20,"9,137.10"
18-May-20,"8,825.85"
19-May-20,"8,884.10"
20-May-20,"9,066.65"
21-May-20,"9,075.10"
22-May-20,"9,027.80"
25-May-20,"9,105.50"
26-May-20,"9,034.00"
27-May-20,"9,309.40"
28-May-20,"9,490.10"
29-May-20,"9,494.10"
1-Jun-20,"9,791.00"
2-Jun-20,"9,962.95"
3-Jun-20,"10,071.80"
4-Jun-20,"10,017.65"
5-Jun-20,"10,145.50"
8-Jun-20,"10,165.35"
9-Jun-20,"10,034.00"
10-Jun-20,"10,118.70"
11-Jun-20,"9,894.55"
12-Jun-20,"9,955.35"
15-Jun-20,"9,813.75"
16-Jun-20,"9,897.85"
17-Jun-20,"9,854.55"
18-Jun-20,"10,071.90"
19-Jun-20,"10,235.55"
22-Jun-20,"10,288.20"
23-Jun-20,"10,467.70"
24-Jun-20,"10,295.65"
25-Jun-20,"10,288.90"
26-Jun-20,"10,318.00"
29-Jun-20,"10,255.80"
30-Jun-20,"10,240.25"
1-Jul-20,"10,408.30"
2-Jul-20,"10,539.70"
3-Jul-20,"10,572.45"
6-Jul-20,"10,754.85"
7-Jul-20,"10,766.65"
8-Jul-20,"10,696.30"
9-Jul-20,"10,823.55"
10-Jul-20,"10,766.65"
13-Jul-20,"10,807.55"
14-Jul-20,"10,613.85"
15-Jul-20,"10,628.25"
16-Jul-20,"10,713.85"
17-Jul-20,"10,905.05"
20-Jul-20,"11,008.60"
21-Jul-20,"11,170.55"
22-Jul-20,"11,110.55"
23-Jul-20,"11,207.55"
24-Jul-20,"11,170.25"
27-Jul-20,"11,122.45"
28-Jul-20,"11,306.15"
29-Jul-20,"11,222.45"
30-Jul-20,"11,102.15"
31-Jul-20,"11,095.85"
3-Aug-20,"10,913.40"
4-Aug-20,"11,102.05"
5-Aug-20,"11,118.00"
6-Aug-20,"11,199.50"
7-Aug-20,"11,226.20"
10-Aug-20,"11,293.35"
11-Aug-20,"11,344.35"
12-Aug-20,"11,317.80"
13-Aug-20,"11,317.35"
14-Aug-20,"11,186.70"
17-Aug-20,"11,268.20"
18-Aug-20,"11,398.55"
19-Aug-20,"11,420.80"
20-Aug-20,"11,305.40"
21-Aug-20,"11,377.20"
24-Aug-20,"11,474.15"
25-Aug-20,"11,471.65"
26-Aug-20,"11,548.20"
27-Aug-20,"11,559.25"
28-Aug-20,"11,675.25"
31-Aug-20,"11,401.95"
1-Sep-20,"11,510.95"
2-Sep-20,"11,561.50"
3-Sep-20,"11,542.80"
4-Sep-20,"11,351.75"
7-Sep-20,"11,365.90"
8-Sep-20,"11,319.85"
9-Sep-20,"11,306.90"
10-Sep-20,"11,455.35"
11-Sep-20,"11,467.10"
14-Sep-20,"11,451.95"
15-Sep-20,"11,527.40"
16-Sep-20,"11,616.40"
17-Sep-20,"11,522.40"
18-Sep-20,"11,515.25"
21-Sep-20,"11,256.10"
22-Sep-20,"11,162.05"
23-Sep-20,"11,147.65"
24-Sep-20,"10,805.55"
25-Sep-20,"11,042.20"
28-Sep-20,"11,238.00"
29-Sep-20,"11,234.70"
30-Sep-20,"11,256.85"
1-Oct-20,"11,435.55"
2-Oct-20,"11,393.75"
5-Oct-20,"11,517.65"
6-Oct-20,"11,669.65"
7-Oct-20,"11,750.90"
8-Oct-20,"11,831.80"
9-Oct-20,"11,929.80"
12-Oct-20,"11,938.35"
13-Oct-20,"11,946.10"
14-Oct-20,"11,982.25"
15-Oct-20,"11,685.55"
16-Oct-20,"11,765.15"
19-Oct-20,"11,889.40"
20-Oct-20,"11,895.90"
21-Oct-20,"11,927.45"
22-Oct-20,"11,898.65"
23-Oct-20,"11,934.35"
26-Oct-20,"11,778.40"
27-Oct-20,"11,879.05"
28-Oct-20,"11,721.50"
29-Oct-20,"11,670.80"
30-Oct-20,"11,638.40"
2-Nov-20,"11,681.55"
3-Nov-20,"11,824.95"
4-Nov-20,"11,922.85"
5-Nov-20,"12,143.30"
6-Nov-20,"12,261.45"
9-Nov-20,"12,467.25"
10-Nov-20,"12,659.10"
11-Nov-20,"12,755.05"
12-Nov-20,"12,706.00"
13-Nov-20,"12,753.40"
14-Nov-20,"12,788.90"
16-Nov-20,"12,903.50"
17-Nov-20,"12,881.85"
18-Nov-20,"12,957.25"
19-Nov-20,"12,793.50"
20-Nov-20,"12,871.30"
23-Nov-20,"12,934.35"
24-Nov-20,"13,062.45"
25-Nov-20,"12,859.15"
26-Nov-20,"12,987.00"
27-Nov-20,"13,017.40"
30-Nov-20,"12,927.25"
1-Dec-20,"13,143.40"
2-Dec-20,"13,162.45"
3-Dec-20,"13,191.85"
4-Dec-20,"13,311.60"
7-Dec-20,"13,387.60"
8-Dec-20,"13,428.15"
9-Dec-20,"13,567.70"
10-Dec-20,"13,524.35"
11-Dec-20,"13,518.35"
14-Dec-20,"13,571.60"
15-Dec-20,"13,584.95"
16-Dec-20,"13,699.45"
17-Dec-20,"13,754.40"
18-Dec-20,"13,774.05"
21-Dec-20,"13,329.75"
22-Dec-20,"13,487.50"
23-Dec-20,"13,612.45"
24-Dec-20,"13,763.75"
28-Dec-20,"13,890.55"
29-Dec-20,"13,935.05"
30-Dec-20,"13,977.45"
31-Dec-20,"13,981.75"
1-Jan-21,"14,053.85"
4-Jan-21,"14,165.30"
5-Jan-21,"14,217.95"
6-Jan-21,"14,189.45"
7-Jan-21,"14,191.10"
8-Jan-21,"14,370.90"
11-Jan-21,"14,489.25"
12-Jan-21,"14,597.95"
13-Jan-21,"14,606.15"
14-Jan-21,"14,628.10"
15-Jan-21,"14,458.50"
18-Jan-21,"14,287.25"
19-Jan-21,"14,570.00"
20-Jan-21,"14,645.15"
21-Jan-21,"14,598.65"
22-Jan-21,"14,380.15"
25-Jan-21,"14,253.15"
26-Jan-21,"14,199.75"
27-Jan-21,"13,982.55"
28-Jan-21,"13,817.55"
29-Jan-21,"13,709.10"
1-Feb-21,"14,351.25"
2-Feb-21,"14,696.00"
3-Feb-21,"14,820.55"
4-Feb-21,"14,895.35"
5-Feb-21,"14,930.65"
8-Feb-21,"15,126.50"
9-Feb-21,"15,105.75"
10-Feb-21,"15,119.55"
11-Feb-21,"15,184.95"
12-Feb-21,"15,161.45"
15-Feb-21,"15,332.20"
16-Feb-21,"15,330.25"
17-Feb-21,"15,207.05"
18-Feb-21,"15,116.10"
19-Feb-21,"14,987.00"
22-Feb-21,"14,672.65"
23-Feb-21,"14,711.55"
24-Feb-21,"14,993.75"
25-Feb-21,"15,097.35"
26-Feb-21,"14,578.45"
1-Mar-21,"14,797.75"
2-Mar-21,"14,958.15"
3-Mar-21,"15,298.85"
4-Mar-21,"15,106.25"
5-Mar-21,"14,953.05"
8-Mar-21,"14,969.00"
9-Mar-21,"15,134.75"
10-Mar-21,"15,209.30"
11-Mar-21,"15,420.75"
12-Mar-21,"15,051.40"
15-Mar-21,"14,968.75"
16-Mar-21,"14,959.70"
17-Mar-21,"14,771.30"
18-Mar-21,"14,577.05"
19-Mar-21,"14,756.45"
22-Mar-21,"14,741.60"
23-Mar-21,"14,832.90"
24-Mar-21,"14,555.30"
25-Mar-21,"14,324.90"
26-Mar-21,"14,608.50"
29-Mar-21,"14,777.75"
30-Mar-21,"14,913.55"
31-Mar-21,"14,752.30"
1-Apr-21,"14,953.35"
2-Apr-21,"14,990.50"
5-Apr-21,"14,698.45"
6-Apr-21,"14,751.45"
7-Apr-21,"14,888.00"
8-Apr-21,"14,924.40"
9-Apr-21,"14,889.40"
12-Apr-21,"14,343.25"
13-Apr-21,"14,541.15"
14-Apr-21,"14,688.25"
15-Apr-21,"14,592.00"
16-Apr-21,"14,645.70"
19-Apr-21,"14,374.15"
20-Apr-21,"14,296.20"
21-Apr-21,"14,151.50"
22-Apr-21,"14,403.60"
23-Apr-21,"14,338.60"
26-Apr-21,"14,486.20"
27-Apr-21,"14,644.70"
28-Apr-21,"14,855.30"
29-Apr-21,"14,894.90"
30-Apr-21,"14,690.80"
3-May-21,"14,685.80"
4-May-21,"14,549.30"
5-May-21,"14,679.10"
6-May-21,"14,769.95"
7-May-21,"14,869.55"
10-May-21,"14,984.65"
11-May-21,"14,878.25"
12-May-21,"14,710.05"
13-May-21,"14,598.50"
14-May-21,"14,714.95"
17-May-21,"14,952.10"
18-May-21,"15,144.85"
19-May-21,"15,059.45"
20-May-21,"14,933.25"
21-May-21,"15,206.20"
24-May-21,"15,202.65"
25-May-21,"15,218.00"
26-May-21,"15,303.00"
27-May-21,"15,337.85"
28-May-21,"15,463.85"
31-May-21,"15,583.20"
1-Jun-21,"15,618.15"
2-Jun-21,"15,616.75"
3-Jun-21,"15,712.40"
4-Jun-21,"15,700.85"
7-Jun-21,"15,784.85"
8-Jun-21,"15,768.60"
9-Jun-21,"15,660.25"
10-Jun-21,"15,751.25"
11-Jun-21,"15,817.30"
14-Jun-21,"15,832.65"
15-Jun-21,"15,879.00"
16-Jun-21,"15,790.20"
17-Jun-21,"15,692.15"
18-Jun-21,"15,696.70"
21-Jun-21,"15,743.80"
22-Jun-21,"15,773.25"
23-Jun-21,"15,695.90"
24-Jun-21,"15,790.45"
25-Jun-21,"15,888.00"
28-Jun-21,"15,854.95"
29-Jun-21,"15,785.60"
30-Jun-21,"15,752.15"
1-Jul-21,"15,710.60"
2-Jul-21,"15,741.55"
5-Jul-21,"15,858.10"
6-Jul-21,"15,837.45"
7-Jul-21,"15,886.40"
8-Jul-21,"15,735.40"
9-Jul-21,"15,722.45"
12-Jul-21,"15,711.95"
13-Jul-21,"15,833.80"
14-Jul-21,"15,869.05"
15-Jul-21,"15,937.30"
16-Jul-21,"15,936.00"
19-Jul-21,"15,752.40"
20-Jul-21,"15,637.20"
21-Jul-21,"15,711.00"
22-Jul-21,"15,816.90"
23-Jul-21,"15,853.10"
26-Jul-21,"15,820.45"
27-Jul-21,"15,734.65"
28-Jul-21,"15,709.10"
29-Jul-21,"15,778.45"
30-Jul-21,"15,777.25"
2-Aug-21,"15,909.00"
3-Aug-21,"16,146.50"
4-Aug-21,"16,260.80"
5-Aug-21,"16,300.65"
6-Aug-21,"16,251.70"
9-Aug-21,"16,262.95"
10-Aug-21,"16,276.95"
11-Aug-21,"16,283.35"
12-Aug-21,"16,358.60"
13-Aug-21,"16,517.35"
16-Aug-21,"16,559.45"
17-Aug-21,"16,595.85"
18-Aug-21,"16,572.30"
19-Aug-21,"16,365.50"
20-Aug-21,"16,433.70"
23-Aug-21,"16,494.25"
24-Aug-21,"16,620.25"
25-Aug-21,"16,632.35"
26-Aug-21,"16,636.90"
27-Aug-21,"16,718.15"
30-Aug-21,"16,942.40"
31-Aug-21,"17,122.25"
1-Sep-21,"17,096.95"
2-Sep-21,"17,247.25"
3-Sep-21,"17,329.35"
6-Sep-21,"17,404.65"
7-Sep-21,"17,375.80"
8-Sep-21,"17,370.90"
9-Sep-21,"17,364.30"
10-Sep-21,"17,366.25"
13-Sep-21,"17,359.30"
14-Sep-21,"17,384.95"
15-Sep-21,"17,535.45"
16-Sep-21,"17,611.25"
17-Sep-21,"17,603.15"
20-Sep-21,"17,386.65"
21-Sep-21,"17,559.30"
22-Sep-21,"17,568.50"
23-Sep-21,"17,833.10"
24-Sep-21,"17,853.60"
27-Sep-21,"17,856.75"
28-Sep-21,"17,748.20"
29-Sep-21,"17,708.00"
30-Sep-21,"17,618.15"
1-Oct-21,"17,530.20"
4-Oct-21,"17,706.25"
5-Oct-21,"17,829.75"
6-Oct-21,"17,627.20"
7-Oct-21,"17,808.15"
8-Oct-21,"17,900.10"
11-Oct-21,"17,973.05"
12-Oct-21,"18,002.55"
13-Oct-21,"18,172.75"
14-Oct-21,"18,355.00"
15-Oct-21,"18,465.50"
18-Oct-21,"18,495.40"
19-Oct-21,"18,432.45"
20-Oct-21,"18,316.70"
21-Oct-21,"18,202.90"
22-Oct-21,"18,144.55"
25-Oct-21,"18,145.45"
26-Oct-21,"18,314.15"
27-Oct-21,"18,215.25"
28-Oct-21,"17,857.25"
29-Oct-21,"17,715.30"
1-Nov-21,"18,008.45"
2-Nov-21,"17,916.25"
3-Nov-21,"17,847.15"
4-Nov-21,"17,916.70"
5-Nov-21,"17,997.75"
8-Nov-21,"18,122.75"
9-Nov-21,"18,070.40"
10-Nov-21,"18,022.95"
11-Nov-21,"17,896.85"
12-Nov-21,"18,133.45"
15-Nov-21,"18,141.00"
16-Nov-21,"18,004.00"
17-Nov-21,"17,909.15"
18-Nov-21,"17,792.90"
19-Nov-21,"17,721.25"
22-Nov-21,"17,435.05"
23-Nov-21,"17,495.25"
24-Nov-21,"17,408.10"
25-Nov-21,"17,536.25"
26-Nov-21,"17,052.15"
29-Nov-21,"17,094.90"
30-Nov-21,"17,033.60"
1-Dec-21,"17,221.90"
2-Dec-21,"17,432.65"
3-Dec-21,"17,239.00"
6-Dec-21,"16,957.15"
7-Dec-21,"17,225.40"
8-Dec-21,"17,513.65"
9-Dec-21,"17,561.40"
10-Dec-21,"17,559.35"
13-Dec-21,"17,446.85"
14-Dec-21,"17,355.05"
15-Dec-21,"17,260.80"
16-Dec-21,"17,317.50"
17-Dec-21,"17,023.50"
20-Dec-21,"16,635.05"
21-Dec-21,"16,800.95"
22-Dec-21,"16,973.35"
23-Dec-21,"17,078.45"
24-Dec-21,"17,003.80"
27-Dec-21,"17,103.40"
28-Dec-21,"17,246.75"
29-Dec-21,"17,215.90"
30-Dec-21,"17,203.95"
31-Dec-21,"17,409.95"
3-Jan-22,"17,677.95"
4-Jan-22,"17,846.75"
5-Jan-22,"17,960.95"
6-Jan-22,"17,788.65"
7-Jan-22,"17,854.30"
10-Jan-22,"18,048.20"
11-Jan-22,"18,083.55"
12-Jan-22,"18,241.20"
13-Jan-22,"18,287.25"
14-Jan-22,"18,295.00"
17-Jan-22,"18,336.60"
18-Jan-22,"18,124.35"
19-Jan-22,"17,974.10"
20-Jan-22,"17,804.10"
21-Jan-22,"17,617.80"
24-Jan-22,"17,151.65"
25-Jan-22,"17,283.45"
26-Jan-22,"17,185.25"
27-Jan-22,"17,110.15"
28-Jan-22,"17,125.65"
31-Jan-22,"17,361.95"
1-Feb-22,"17,589.00"
2-Feb-22,"17,795.90"
3-Feb-22,"17,547.10"
4-Feb-22,"17,529.65"
7-Feb-22,"17,218.30"
8-Feb-22,"17,273.00"
9-Feb-22,"17,480.15"
10-Feb-22,"17,617.65"
11-Feb-22,"17,355.80"
14-Feb-22,"16,837.85"
15-Feb-22,"17,360.65"
16-Feb-22,"17,317.35"
17-Feb-22,"17,290.20"
18-Feb-22,"17,278.05"
21-Feb-22,"17,205.20"
22-Feb-22,"17,073.60"
23-Feb-22,"17,080.65"
24-Feb-22,"16,247.95"
25-Feb-22,"16,656.05"
28-Feb-22,"16,794.25"
